Velocidad,DV001,Avenida A,5,60
Semaforo,DS473,Avenida B,10,true
Estacionamiento,DE467,Avenida C,15,false
Velocidad,DV621,Avenida D,5,60
Semaforo,DS849,Avenida E,10,true
Estacionamiento,DE033,Avenida F,15,false
Velocidad,DV573,Avenida G,5,60
Semaforo,DS834,Avenida H,10,true
Estacionamiento,DE526,Avenida I,15,false
Velocidad,DV081,Avenida J,5,60
Velocidad,DV050,Avenida A,5,60
Semaforo,DS253,Avenida B,10,true
Estacionamiento,DE190,Avenida C,15,false
Velocidad,DV419,Avenida D,5,60
Semaforo,DS461,Avenida E,10,true
Estacionamiento,DE686,Avenida F,15,false
Velocidad,DV618,Avenida G,5,60
Semaforo,DS318,Avenida H,10,true
Estacionamiento,DE999,Avenida I,15,false
Velocidad,DV974,Avenida J,5,60
Velocidad,DV326,Avenida A,5,60
Semaforo,DS071,Avenida B,10,true
Estacionamiento,DE679,Avenida C,15,false
Velocidad,DV572,Avenida D,5,60
Semaforo,DS609,Avenida E,10,true
Estacionamiento,DE172,Avenida F,15,false
Velocidad,DV588,Avenida G,5,60
Semaforo,DS863,Avenida H,10,true
Estacionamiento,DE885,Avenida I,15,false
Velocidad,DV306,Avenida J,5,60
Velocidad,DV253,Avenida A,5,60
Semaforo,DS714,Avenida B,10,true
Estacionamiento,DE746,Avenida C,15,false
Velocidad,DV481,Avenida D,5,60
Semaforo,DS799,Avenida E,10,true
Estacionamiento,DE960,Avenida F,15,false
Velocidad,DV252,Avenida G,5,60
Semaforo,DS203,Avenida H,10,true
Estacionamiento,DE243,Avenida I,15,false
Velocidad,DV044,Avenida J,5,60
Estacionamiento,DE830,Avenida C,15,false
Estacionamiento,DE618,Avenida F,15,false
